,0
2020-01-02,0.08080808080808081
2020-02-03,0.10101010101010102
2020-03-04,0.13131313131313133
2020-04-02,1.0
2020-05-04,0.696969696969697
2020-06-03,0.5050505050505051
2020-07-02,0.5757575757575758
2020-08-03,0.393939393939394
2020-09-01,0.43434343434343436
2020-10-01,0.5050505050505051
2020-10-30,0.6565656565656566
2020-12-01,0.5555555555555556
2020-12-31,0.5858585858585859
2021-02-02,0.6363636363636365
2021-03-04,0.8989898989898991
2021-04-05,0.26262626262626265
2021-05-04,0.26262626262626265
2021-06-03,0.30303030303030304
2021-07-02,0.24242424242424243
2021-08-03,0.25252525252525254
2021-09-01,0.29292929292929293
2021-10-01,0.25252525252525254
2021-11-01,0.17171717171717174
2021-12-01,0.2828282828282829
