date,cash,value,SPY_qty,QQQ_qty,VEA_qty,EEM_qty,BIL_qty,GLD_qty,SPY,QQQ,VEA,EEM,BIL,GLD
2015-09-29,-142.45,9606.04,12.817263944079343,33.752049967246016,27.687618004983598,-1.0492394473822806,36.59274438537859,10.164601048550903,2043.13,3120.74,722.37,-26.75,2791.42,1097.57
2015-09-30,-142.45,9717.93,12.817263944079343,33.752049967246016,27.687618004983598,-1.0492394473822806,36.59274438537859,10.164601048550903,2081.25,3192.59,737.05,-27.52,2790.81,1086.19
2015-10-01,-142.45,9738.99,12.817263944079343,33.752049967246016,27.687618004983598,-1.0492394473822806,36.59274438537859,10.164601048550903,2086.68,3207.02,739.12,-27.67,2791.42,1084.87
2015-10-02,-142.45,9860.76,12.817263944079343,33.752049967246016,27.687618004983598,-1.0492394473822806,36.59274438537859,10.164601048550903,2117.86,3263.18,751.32,-28.41,2791.42,1107.84
2015-10-05,-141.43,9956.82,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,1957.3,3507.5,766.42,-29.02,2596.07,1299.99
2015-10-06,-141.43,9947.4,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,1950.59,3490.88,767.25,-28.97,2596.07,1313.02
2015-10-07,-141.43,9990.73,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,1966.57,3511.82,776.34,-29.74,2596.07,1311.11
2015-10-08,-141.43,10021.85,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,1984.32,3525.78,782.76,-30.06,2596.07,1304.41
2015-10-09,-141.43,10061.21,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,1985.5,3541.74,784.41,-30.17,2596.07,1325.09
2015-10-12,-141.43,10075.77,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,1987.37,3550.39,782.96,-29.94,2596.07,1330.35
2015-10-13,-141.43,10038.06,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,1974.85,3527.45,773.66,-29.46,2596.07,1336.92
2015-10-14,-141.43,10047.26,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,1965.38,3521.79,774.9,-29.68,2596.07,1360.23
2015-10-15,-141.43,10142.62,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,1995.56,3579.64,789.17,-30.41,2596.07,1354.01
