,spread,beta,z_score,short,long,exit,close_1,close_2
2020-01-02,-1.1869269981910264,0.6184347327272637,-1.6012497399571102,False,False,False,172.7000732421875,88.17001342773438
2020-01-03,-1.506906027632354,0.6201261293768341,-1.8864888925080678,False,False,False,174.35845947265625,88.87496948242188
2020-01-06,-1.26616297934072,0.6211570567662932,-1.7033606653315665,False,False,False,174.6501007080078,89.29459381103516
2020-01-07,-0.005901240175717248,0.6234212584425578,-0.6285519144375123,False,False,False,170.85009765625,88.19520568847656
2020-01-08,-0.2632724969349738,0.6254806925853178,-0.8675974104786576,False,False,False,171.55838012695312,88.37980651855469
2020-01-09,-0.3787523160699493,0.6267007310858158,-0.9886336827293735,False,False,False,171.95843505859375,88.51409912109375
2020-01-10,-0.843679693039121,0.6273799145502232,-1.4242487403343789,False,False,False,173.7084197998047,89.1435317993164
2020-01-13,-1.5257996641690568,0.6276076338308907,-2.0553310969715888,False,True,False,175.85008239746094,89.79813385009766
2020-01-14,-0.6181460262745588,0.6283823321361446,-1.2497079015582293,False,False,False,174.59176635742188,89.9156265258789
2020-01-15,-1.1882855091430713,0.6292898851587401,-1.7820869437600722,False,False,False,176.58343505859375,90.59541320800781
2020-01-16,-1.8068353044296543,0.6294496285379992,-2.343438651440328,False,False,False,179.07510375976562,91.53536224365234
2020-01-17,-1.6583112716060526,0.6292091525212243,-2.2025532584876903,False,False,False,180.05844116210938,92.29065704345703
2020-01-21,-2.10671739430407,0.6278991437889154,-2.6006671230245137,False,False,False,182.75009155273438,93.5075454711914
2020-01-22,-1.6958628496903856,0.6270653906976889,-2.2244869551915682,False,False,False,180.5334014892578,92.50886535644531
2020-01-23,-1.8440993300883264,0.6261488467326608,-2.3489773392223396,False,False,False,182.07510375976562,93.30614471435547
2020-01-24,-2.3652257034446507,0.6243582229871958,-2.7997373568286226,False,False,False,182.77511596679688,93.18862915039062
2020-01-27,-2.4811916601703103,0.6226226322172268,-2.8681336732989693,False,False,False,182.38340759277344,92.79419708251953
2020-01-28,-2.331944671688234,0.620773734507545,-2.701032185237594,False,False,False,182.72509765625,93.12149810791016
2020-01-29,-1.38312271336288,0.6200873159959219,-1.8503930361744128,False,False,False,180.51675415039062,92.68511962890625
2020-01-30,-1.7376479671178657,0.6191959446222041,-2.1408549829922467,False,False,False,181.67507934570312,93.0291748046875
2020-01-31,0.2660803243487351,0.6194196661000391,-0.3928706877104702,False,False,True,180.57508850097656,94.35517120361328
2020-02-03,-0.4353098168469103,0.6204873805898603,-1.0033702385444283,False,False,False,180.57508850097656,93.65862274169922
2020-02-04,-0.9472532654148438,0.62016025356335,-1.4440052110958834,False,False,False,182.30845642089844,94.2125015258789
2020-02-05,-0.4846247867873501,0.6198466208023192,-1.0389015144381368,False,False,False,181.34176635742188,94.0698471069336
2020-02-06,-0.5025922903257509,0.6198893514512186,-1.0506662125663238,False,False,False,182.60842895507812,94.83354187011719
2020-02-07,-0.6359345274885158,0.6199148618101025,-1.1598399919998734,False,False,False,182.6417694091797,94.71605682373047
2020-02-10,-0.9932200262745141,0.6197015323671771,-1.4582607392980218,False,False,False,184.79176330566406,95.68116760253906
2020-02-11,-0.9942126602096977,0.619400767416185,-1.4474136685018704,False,False,False,185.73345947265625,96.25183868408203
2020-02-12,-0.6744986563328439,0.6192102519227243,-1.1669124101505601,False,False,False,186.9917755126953,97.34282684326172
2020-02-13,0.031944528900083924,0.6192150310136225,-0.561098184253862,False,False,False,187.9917755126953,98.6688461303711
2020-02-14,0.13461796227525724,0.6194055506137984,-0.4738150326803526,False,False,False,189.60842895507812,99.7766342163086
2020-02-18,-0.2853093655518393,0.6189248937994002,-0.8333213143245906,False,False,False,190.0584259033203,99.62557983398438
2020-02-19,0.12927565390788232,0.6188972322370404,-0.4786025741286506,False,False,False,188.16676330566406,98.87024688720703
2020-02-20,1.0051498115915933,0.6192554257857862,0.2674624866219308,False,False,False,189.29176330566406,100.45641326904297
2020-02-21,1.1432545193953132,0.6196898624671177,0.38070448013299046,False,False,False,190.01673889160156,101.0606689453125
2020-02-24,1.277392267039545,0.6202810946771072,0.4912257105864327,False,False,False,188.158447265625,100.06198120117188
2020-02-25,1.2765885377789488,0.6209765114478187,0.4852555182533513,False,False,False,184.5084228515625,97.81285095214844
2020-02-26,1.2517040734207399,0.6215305093946146,0.45832518821287815,False,False,False,184.35009765625,97.70372772216797
2020-02-27,3.50529055404796,0.6217153127149184,2.387330164859603,True,False,False,173.05838012695312,92.95365905761719
2020-02-28,3.1450263602973223,0.6207399434712036,2.049574620204809,False,False,False,167.1584014892578,88.94213104248047
2020-03-02,2.055853085115956,0.6210516942559836,1.1075030454113535,False,False,False,174.72509765625,92.55923461914062
2020-03-03,1.8800351692451045,0.621411181931434,0.9504763691607411,False,False,True,173.94174194335938,91.90461730957031
2020-03-04,1.8299499648620667,0.6226599330450637,0.9016324932078393,False,False,False,181.4334259033203,96.52879333496094
2020-03-05,3.909183119275127,0.6243156750291792,2.6267276713690917,True,False,False,177.7584228515625,96.34416961669922
2020-03-06,5.384098319312159,0.6250878951379106,3.7424465103411997,False,False,False,174.216796875,95.63081359863281
2020-03-09,1.8428312879638185,0.623953168582144,0.8414409491202,False,False,True,164.30844116210938,85.91246032714844
2020-03-10,-4.16479253587535,0.6238197872365283,-3.9213579117004067,False,True,False,174.03343200683594,85.95442962646484
2020-03-11,-3.299842638910661,0.6263368215737976,-3.158624133676312,False,False,False,163.2084197998047,80.0294418334961
2020-03-12,-2.5555911024104887,0.6306675406335545,-2.5372917103693866,False,False,False,151.6500701904297,73.43305206298828
2020-03-13,-1.3032408240322297,0.6318984264676102,-1.5638111267280101,False,False,False,160.96676635742188,80.54136657714844
2020-03-16,-0.06496412150968922,0.6322476644619266,-0.6167804947173431,False,False,True,136.22509765625,66.1317367553711
2020-03-17,-3.2772865098986586,0.6374562602681286,-2.994616932398603,False,True,False,151.32508850097656,72.34205627441406
2020-03-18,3.4031248291598644,0.6278090090957984,1.9766302751381788,False,False,False,128.2333984375,64.73856353759766
2020-03-19,6.609270956156891,0.6074428403834736,4.182527613709959,False,False,False,122.14171600341797,65.16658020019531
2020-03-20,7.092827746424348,0.5833015241255788,4.337103805671831,False,False,False,109.68338775634766,59.619258880615234
2020-03-23,7.344603505201732,0.559374556128334,4.321660470055221,False,False,False,100.9000473022461,56.48051452636719
2020-03-24,5.851047551497125,0.5448510321004376,3.248015545780065,False,False,False,106.21673583984375,58.93947219848633
2020-03-25,2.8766252579150873,0.5395932407467886,1.310803411845913,False,False,False,117.31673431396484,62.31319046020508
2020-03-26,4.1872168452039205,0.5337644268577353,2.1298175019229015,False,False,False,125.8833999633789,68.53192138671875
2020-03-27,3.3179995514574614,0.5301131513728847,1.5610610590012086,False,False,False,133.5584259033203,71.91402435302734
2020-03-30,4.701956295270506,0.524516840555602,2.405985332315113,False,False,False,128.02011108398438,70.62592315673828
2020-03-31,3.1932452158041116,0.520432689967371,1.4442505129713068,False,False,False,123.8706283569336,67.1513900756836
2020-04-01,3.3163301079777128,0.5158905360727839,1.5096399300029308,False,False,False,116.1692123413086,63.53282165527344
