date,cash,value,SPY_qty,QQQ_qty,GLD_qty,TLT_qty,EEM_qty,XLE_qty,IEF_qty,SPY,QQQ,GLD,TLT,EEM,XLE,IEF
2005-01-03,-10.0,9990.0,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,3000.0,1000.0,1000.0,1000.0,1500.0,1000.0,1500.0
2005-01-04,-10.0,9857.46,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2963.34,981.77,993.49,989.52,1453.82,994.85,1490.66
2005-01-05,-10.0,9814.98,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2942.89,975.7,991.86,994.82,1436.02,990.57,1493.13
2005-01-06,-10.0,9831.31,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2957.86,970.89,979.78,995.49,1435.04,1007.72,1494.54
2005-01-07,-10.0,9820.72,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2953.62,975.95,972.57,997.75,1437.82,999.71,1493.3
2005-01-10,-10.0,9847.38,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2967.58,975.44,975.13,999.32,1439.62,1007.15,1493.13
2005-01-11,-10.0,9833.72,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2947.13,968.61,981.17,1005.18,1436.92,1008.58,1496.12
2005-01-12,-10.0,9899.62,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2956.86,976.71,990.24,1006.54,1454.57,1026.3,1498.41
2005-01-13,-10.0,9879.56,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2933.17,963.8,990.24,1016.23,1448.56,1033.16,1504.41
2005-01-14,-10.0,9931.69,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2948.63,972.91,983.73,1016.11,1474.47,1042.31,1503.52
2005-01-18,-10.0,9980.22,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2979.3,980.25,983.73,1019.5,1471.84,1052.6,1502.99
2005-01-19,-10.0,9911.27,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2948.13,964.05,982.33,1022.42,1451.56,1048.88,1503.88
2005-01-20,-10.0,9850.67,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2930.18,945.57,982.1,1024.45,1433.54,1038.31,1506.52
2005-01-21,-10.0,9862.44,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2912.22,937.97,993.49,1025.58,1453.07,1040.59,1509.52
2005-01-24,-10.0,9855.36,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2906.49,924.81,994.19,1029.98,1450.81,1049.74,1509.34
2005-01-25,-10.0,9857.92,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2914.71,929.37,981.87,1020.28,1463.95,1054.03,1503.7
2005-01-26,-10.0,9922.21,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2923.44,940.51,992.33,1022.2,1485.36,1064.32,1504.05
2005-01-27,-10.0,9930.96,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2928.43,939.24,990.7,1020.28,1486.78,1073.76,1501.76
2005-01-28,-10.0,9934.53,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2928.43,934.68,992.33,1030.54,1488.14,1060.89,1509.52
2005-01-31,-10.0,9989.59,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2946.64,946.84,981.4,1033.47,1507.73,1073.47,1510.04
2005-02-01,-10.0,10037.07,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2965.34,949.87,978.61,1031.83,1520.65,1091.77,1509.0
2005-02-02,-10.0,10071.48,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2974.31,951.39,980.01,1034.2,1525.46,1106.92,1509.18
2005-02-03,-10.0,10042.51,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2966.58,940.51,968.85,1033.64,1523.88,1112.35,1506.7
2005-02-04,-10.0,10134.44,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2998.26,955.7,963.97,1048.0,1547.69,1116.35,1514.48
2005-02-07,-10.0,10132.04,36.552370480941576,29.60514873723217,23.24500207715673,21.707210353851774,101.54979811600766,51.01441017361351,30.21756917232512,2994.27,953.67,959.32,1055.81,1552.57,1108.92,1517.49
